N/A	 Fortnite: Battle	 Build	 Survive!	2018	 Documentary	 N/A)
7.1	 With Great Power: The Stan Lee Story	2010	 Documentary	 Biography	 7.1)	
7	 "Hang Em High"	1968	 Drama	 Western	 7.0)	
7	 The Slipper and the Rose: The Story of Cinderella	1976	 Adventure	 Family	 Fantasy	 7.0)
7	 A Girl Like Her	2015	 Drama	 7.0)		
7	 Iris	2001	 Biography	 Drama	 Romance	 7.0)
7	 A Rumor of Angels	2000	 Drama	 7.0)		
7	 Prescription Thugs	2015	 Documentary	 7.0)		
6.9	 The Cutting Edge	1992	 Comedy	 Drama	 Romance	 6.9)
6.9	 Countdown to Zero	2010	 Documentary	 6.9)		
6.9	 Quigley Down Under	1990	 Action	 Adventure	 Drama	 6.9)
6.9	 Return to Me	2000	 Comedy	 Drama	 Romance	 6.9)
6.9	 Lost and Delirious	2001	 Drama	 Romance	 6.9)	
6.9	 Mr. Jones	2019	 Biography	 Drama	 Thriller	 6.9)
6.9	 Harsh Times	2005	 Action	 Crime	 Drama	 6.9)
6.9	 Support Your Local Gunfighter	1971	 Comedy	 Romance	 Western	 6.9)
6.9	 Ragamuffin	2014	 Biography	 Drama	 6.9)	
6.8	 Beavis and Butt-Head Do America	1996	 Animation	 Adventure	 Comedy	 6.8)
6.8	 Hannibal	2001	 Crime	 Drama	 Thriller	 6.8)
6.8	 Mr. Majestyk	1974	 Action	 Crime	 Drama	 6.8)
6.8	 Dying Laughing	2016	 Documentary	 Comedy	 Drama	 6.8)
6.8	 Love	 Kennedy	2017	 Drama	 6.8)	
6.8	 Slash: Raised on the Sunset Strip	2014	 Documentary	 Biography	 Music	 6.8)
6.7	 Robin Hood: Men in Tights	1993	 Adventure	 Comedy	 Musical	 6.7)
6.7	 Where the Heart Is	2000	 Comedy	 Drama	 Romance	 6.7)
6.7	 The Pirates! In an Adventure with Scientists!	2012	 Animation	 Adventure	 Comedy	 6.7)
6.7	 In the Time of the Butterflies	2001	 Crime	 Drama	 Romance	 Thriller
6.7	 Snow Queen	2002	 Adventure	 Family	 Fantasy	 6.7)
6.7	 Hot Rod	2007	 Comedy	 Sport	 6.7)	
6.7	 Breakheart Pass	1975	 Mystery	 Western	 6.7)	
6.7	 Froning: The Fittest Man in History	2015	 Documentary	 6.7)		
6.7	 The Bridge at Remagen	1969	 Action	 Drama	 War	 6.7)
6.7	 Yoga Is: A Transformational Journey	2012	 Documentary	 6.7)		
6.7	 "Chatos Land"	1972	 Western	 6.7)		
6.6	 Idiocracy	2006	 Adventure	 Comedy	 Sci-Fi	 6.6)
6.6	 Hot Shots! Part Deux	1993	 Action	 Comedy	 6.6)	
6.6	 Australia	2008	 Adventure	 Comedy	 Drama	 6.6)
6.6	 Hurricane Season	2009	 Drama	 Sport	 6.6)	
6.6	 "Im Gonna Git You Sucka"	1988	 Action	 Comedy	 Crime	 6.6)
